position,column_name,source_sql_type,notes
1,timestamp,smalldatetime,Beginning of hourly interval.
2,station,bigint,Unique station identifier.
3,district,char(2),District number.
4,route,char(5),Route number.
5,direction_of_travel,char(1),N/S/E/W.
6,lane_type,char(2),Lane type such as ML/HV/FR/OR/FF.
7,station_length,decimal(4,3),Station segment length.
8,samples,smallint,Total samples received for all lanes.
9,percentage_observed,smallint,Observed percentage.
10,total_flow,int,Hourly total flow.
11,average_occupancy,decimal(5,1),Average occupancy.
12,average_speed,decimal(4,1),Average speed.
13,delay_35,decimal(6,1),Delay threshold 35.
14,delay_40,decimal(6,1),Delay threshold 40.
15,delay_45,decimal(6,1),Delay threshold 45.
16,delay_50,decimal(6,1),Delay threshold 50.
17,delay_55,decimal(6,1),Delay threshold 55.
18,delay_60,decimal(6,1),Delay threshold 60.
19,lane1_flow,smallint,Lane 1 flow.
20,lane1_average_occupancy,decimal(5,1),Lane 1 average occupancy.
21,lane1_average_speed,decimal(4,1),Lane 1 average speed.
22,lane2_flow,smallint,Lane 2 flow.
23,lane2_average_occupancy,decimal(5,1),Lane 2 average occupancy.
24,lane2_average_speed,decimal(4,1),Lane 2 average speed.
25,lane3_flow,smallint,Lane 3 flow.
26,lane3_average_occupancy,decimal(5,1),Lane 3 average occupancy.
27,lane3_average_speed,decimal(4,1),Lane 3 average speed.
28,lane4_flow,smallint,Lane 4 flow.
29,lane4_average_occupancy,decimal(5,1),Lane 4 average occupancy.
30,lane4_average_speed,decimal(4,1),Lane 4 average speed.
31,lane5_flow,smallint,Lane 5 flow.
32,lane5_average_occupancy,decimal(5,1),Lane 5 average occupancy.
33,lane5_average_speed,decimal(4,1),Lane 5 average speed.
34,lane6_flow,smallint,Lane 6 flow.
35,lane6_average_occupancy,decimal(5,1),Lane 6 average occupancy.
36,lane6_average_speed,decimal(4,1),Lane 6 average speed.
37,lane7_flow,smallint,Lane 7 flow.
38,lane7_average_occupancy,decimal(5,1),Lane 7 average occupancy.
39,lane7_average_speed,decimal(4,1),Lane 7 average speed.
40,lane8_flow,smallint,Lane 8 flow.
41,lane8_average_occupancy,decimal(5,1),Lane 8 average occupancy.
42,lane8_average_speed,decimal(4,1),Lane 8 average speed.
