file,month,rows,first_date,last_date,stations
d11_text_station_day_2020_01.txt,01,46128,2020-01-01,2020-01-31,1488
d11_text_station_day_2020_02.txt,02,43152,2020-02-01,2020-02-29,1488
d11_text_station_day_2020_03.txt,03,46230,2020-03-01,2020-03-31,1519
d11_text_station_day_2020_04.txt,04,45150,2020-04-01,2020-04-30,1505
d11_text_station_day_2020_05.txt,05,46661,2020-05-01,2020-05-31,1507
d11_text_station_day_2020_06.txt,06,45210,2020-06-01,2020-06-30,1507
d11_text_station_day_2020_07.txt,07,46717,2020-07-01,2020-07-31,1507
d11_text_station_day_2020_08.txt,08,46717,2020-08-01,2020-08-31,1507
d11_text_station_day_2020_09.txt,09,45210,2020-09-01,2020-09-30,1507
d11_text_station_day_2020_10.txt,10,42718,2020-10-01,2020-10-31,1378
d11_text_station_day_2020_11.txt,11,41340,2020-11-01,2020-11-30,1378
d11_text_station_day_2020_12.txt,12,42718,2020-12-01,2020-12-31,1378
