station,rows,first_timestamp,last_timestamp,months
1111510,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1123078,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1123081,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1123084,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1123088,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1123089,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1125509,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1125909,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1125911,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1125912,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1125913,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1126338,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1126361,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
1126589,2040,01/01/2020 00:00:00,03/26/2020 00:00:00,01;02;03
